series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000394,product B,V1E1,po_001152,MFG,1054,0,1054,center_0,0,0,0,0,1,0,0,0,0,0,1210,0
sn_000394,product B,V1E2,po_001153,po_001152,1210,0,2264,center_2,0,0,0,0,1,0,0,0,0,0,1016,1
sn_000394,product B,V1E2,po_001154,po_001153,1016,1,3280,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000395,product B,V1E1,po_001155,MFG,931,0,931,center_0,0,0,0,0,1,0,0,0,0,0,1086,0
sn_000395,product B,V1E2,po_001156,po_001155,1086,0,2017,center_2,0,0,0,1,1,0,0,0,0,1,1255,1
sn_000395,product B,V1E2,po_001157,po_001156,1255,1,3272,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000396,product B,V1E1,po_001158,MFG,1396,0,1396,center_0,0,0,0,1,1,0,0,0,0,0,1134,0
sn_000396,product B,V1E2,po_001159,po_001158,1134,0,2530,center_2,0,0,0,0,1,0,0,0,0,0,755,1
sn_000396,product B,V1E3,po_001160,po_001159,755,1,3285,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000397,product B,V1E1,po_001161,MFG,1050,0,1050,center_0,0,0,0,0,1,0,0,0,0,0,1346,0
sn_000397,product B,V1E2,po_001162,po_001161,1346,0,2396,center_2,0,0,0,0,1,0,0,0,0,0,876,1
sn_000397,product B,V1E2,po_001163,po_001162,876,1,3272,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000398,product B,V1E1,po_001164,MFG,964,0,964,center_0,0,0,0,0,0,1,0,0,0,0,943,0
sn_000398,product B,V1E1,po_001165,po_001164,943,0,1907,center_2,0,0,0,0,1,0,0,0,0,1,936,0
sn_000398,product B,V1E2,po_001166,po_001165,936,0,2843,center_2,0,1,0,0,1,0,0,0,0,0,401,1
sn_000398,product B,V1E3,po_001167,po_001166,401,1,3244,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000399,product B,V1E1,po_001168,MFG,1584,0,1584,center_0,0,0,0,0,1,0,0,0,0,0,995,0
sn_000399,product B,V1E2,po_001169,po_001168,995,0,2579,center_2,0,0,0,0,1,0,0,0,0,0,693,1
sn_000399,product B,V1E3,po_001170,po_001169,693,1,3272,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000400,product B,V1E1,po_001171,MFG,1082,0,1082,center_0,0,0,0,0,1,0,0,0,0,0,137,0
sn_000400,product B,V1E2,po_001172,po_001171,137,0,1219,center_2,0,0,0,0,0,0,0,0,0,1,2051,1
sn_000400,product B,V1E2,po_001174,po_001173,2051,1,3270,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000401,product B,V1E1,po_001175,MFG,927,0,927,center_0,0,0,0,0,1,0,0,0,0,0,2355,1
sn_000401,product B,V1E2,po_001176,po_001175,2355,1,3282,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000402,product B,V1E1,po_001177,MFG,1064,0,1064,center_0,0,0,0,0,1,0,0,0,0,0,1102,1
sn_000402,product B,V1E2,po_001178,po_001177,1102,1,2166,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000403,product B,V1E1,po_001179,MFG,692,0,692,center_0,0,0,0,0,1,0,0,0,0,0,2586,1
sn_000403,product B,V1E2,po_001180,po_001179,2586,1,3278,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000404,product B,V1E1,po_001181,MFG,816,0,816,center_0,0,0,0,0,1,0,0,0,0,0,2459,1
sn_000404,product B,V1E2,po_001182,po_001181,2459,1,3275,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000405,product B,V1E1,po_001183,MFG,803,0,803,center_0,0,0,0,0,1,0,0,0,0,1,426,0
sn_000405,product B,V1E2,po_001184,po_001183,426,0,1229,center_2,0,0,0,0,0,1,0,0,0,0,2040,1
sn_000405,product B,V1E2,po_001185,po_001184,2040,1,3269,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000406,product B,V1E1,po_001186,MFG,1038,0,1038,center_0,0,0,0,0,1,0,0,0,0,1,2233,1
sn_000406,product B,V1E2,po_001187,po_001186,2233,1,3271,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000407,product B,V1E1,po_001188,MFG,3271,1,3271,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000408,product B,V1E1,po_001189,MFG,1208,0,1208,center_0,0,0,0,0,1,0,0,0,0,0,348,0
sn_000408,product B,V1E2,po_001190,po_001189,348,0,1556,center_2,1,0,0,0,0,0,0,0,0,1,1289,0
sn_000408,product B,V1E2,po_001191,po_001190,1289,0,2845,center_2,0,0,0,0,1,0,0,0,0,0,408,1
sn_000408,product B,V1E3,po_001192,po_001191,408,1,3253,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000409,product B,V1E1,po_001193,MFG,315,1,315,center_0,0,0,0,0,0,0,0,0,0,0,690,0
sn_000409,product B,V1E1,po_001194,po_001193,690,0,1005,center_2,0,0,0,0,1,0,0,0,0,0,1013,0
sn_000409,product B,V1E2,po_001195,po_001194,1013,0,2018,center_2,0,0,0,0,1,0,0,0,0,0,1206,1
sn_000409,product B,V1E2,po_001196,po_001195,1206,1,3224,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000410,product B,V1E1,po_001197,MFG,902,0,902,center_0,0,0,0,0,1,0,0,0,0,0,300,0
sn_000410,product B,V1E2,po_001198,po_001197,300,0,1202,center_2,1,1,1,0,0,0,0,0,0,1,2046,1
sn_000410,product B,V1E2,po_001199,po_001198,2046,1,3248,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000411,product B,V1E1,po_001200,MFG,997,0,997,center_0,0,0,0,0,0,1,0,0,0,0,392,0
